protein1_pdb,protein2_pdb,protein1_uniprot,protein2_uniprot,interaction_type
4MVB,1BQH,A0A5B9,P01887,0
4MVB,1BZ9,A0A5B9,P01887,0
4MVB,1DDH,A0A5B9,P01887,0
4MVB,1FFO,A0A5B9,P01887,0
4MVB,1FO0,A0A5B9,P01887,0
4MVB,1FZJ,A0A5B9,P01887,0
4MVB,1FZK,A0A5B9,P01887,0
4MVB,1FZM,A0A5B9,P01887,0
4MVB,1FZO,A0A5B9,P01887,0
4MVB,1G7P,A0A5B9,P01887,0
4MVB,1HOC,A0A5B9,P01887,0
4MVB,1INQ,A0A5B9,P01887,0
4MVB,1JPF,A0A5B9,P01887,0
4MVB,1JUF,A0A5B9,P01887,0
4MVB,1K8D,A0A5B9,P01887,0
4MVB,1KBG,A0A5B9,P01887,0
4MVB,1KJ2,A0A5B9,P01887,0
4MVB,1KJ3,A0A5B9,P01887,0
4MVB,1KPU,A0A5B9,P01887,0
4MVB,1KPV,A0A5B9,P01887,0
4MVB,1LD9,A0A5B9,P01887,0
4MVB,1LEG,A0A5B9,P01887,0
4MVB,1LEK,A0A5B9,P01887,0
4MVB,1MHC,A0A5B9,P01887,0
4MVB,1N59,A0A5B9,P01887,0
4MVB,1NAM,A0A5B9,P01887,0
4MVB,1NEZ,A0A5B9,P01887,0
4MVB,1P4L,A0A5B9,P01887,0
4MVB,1PQZ,A0A5B9,P01887,0
4MVB,1QO3,A0A5B9,P01887,0
4MVB,1RJZ,A0A5B9,P01887,0
4MVB,1RK0,A0A5B9,P01887,0
4MVB,1RK1,A0A5B9,P01887,0
4MVB,1S7Q,A0A5B9,P01887,0
4MVB,1S7S,A0A5B9,P01887,0
4MVB,1T0N,A0A5B9,P01887,0
4MVB,1VAC,A0A5B9,P01887,0
4MVB,1VAD,A0A5B9,P01887,0
4MVB,1WBX,A0A5B9,P01887,0
4MVB,1WBY,A0A5B9,P01887,0
4MVB,1WBZ,A0A5B9,P01887,0
4MVB,1YN6,A0A5B9,P01887,0
4MVB,1YN7,A0A5B9,P01887,0
4MVB,2CLV,A0A5B9,P01887,0
4MVB,2CLZ,A0A5B9,P01887,0
4MVB,2FO4,A0A5B9,P01887,0
4MVB,2FWO,A0A5B9,P01887,0
4MVB,2OL3,A0A5B9,P01887,0
4MVB,2QRI,A0A5B9,P01887,0
4MVB,2VAA,A0A5B9,P01887,0
4MVB,3BUY,A0A5B9,P01887,0
4MVB,3CPL,A0A5B9,P01887,0
4MVB,3DMM,A0A5B9,P01887,0
4MVB,3FOL,A0A5B9,P01887,0
4MVB,3FOM,A0A5B9,P01887,0
4MVB,3FTG,A0A5B9,P01887,0
4MVB,3G08,A0A5B9,P01887,0
4MVB,3GML,A0A5B9,P01887,0
4MVB,3GMM,A0A5B9,P01887,0
4MVB,3GMO,A0A5B9,P01887,0
4MVB,3GMQ,A0A5B9,P01887,0
4MVB,3GMR,A0A5B9,P01887,0
4MVB,3HE6,A0A5B9,P01887,0
4MVB,3HE7,A0A5B9,P01887,0
4MVB,3ILP,A0A5B9,P01887,0
4MVB,3NWM,A0A5B9,P01887,0
4MVB,3P4M,A0A5B9,P01887,0
4MVB,3P4N,A0A5B9,P01887,0
4MVB,3P4O,A0A5B9,P01887,0
4MVB,3P9L,A0A5B9,P01887,0
4MVB,3P9M,A0A5B9,P01887,0
4MVB,3PAB,A0A5B9,P01887,0
4MVB,3PWU,A0A5B9,P01887,0
4MVB,3ROL,A0A5B9,P01887,0
4MVB,3SDD,A0A5B9,P01887,0
4MVB,3T1F,A0A5B9,P01887,0
4MVB,4IHO,A0A5B9,P01887,0
4MVB,4L8B,A0A5B9,P01887,0
4MVB,4L8D,A0A5B9,P01887,0
4MVB,4MQ7,A0A5B9,P01887,0
