protein1_uniprot,protein2_uniprot,interaction_type
A0A5B9,P01887,0
A0A5B9,P61769,0
A0N6Y3,P00127,0
A0N6Y3,P00128,0
A0N6Y3,P00163,0
A0N6Y3,P07143,0
A0N6Y3,P07256,0
A0N6Y3,P07257,0
A0N6Y3,P08525,0
A0N6Y3,P22289,0
A0N8N6,P61769,0
A1BBA0,P22619,0
A1EKW0,Q9KN57,0
A1KGL6,O53799,0
A1KGL6,Q7D9D3,0
A1KGL7,A2VG40,0
A1KGL7,O53799,0
A1KGL7,Q7D9D3,0
A1KGL7,Q7D9D4,0
A1KKF3,A2VJK8,0
A1KKF3,A4KIP1,0
A1KKF3,A5U4D5,0
A1KKF3,A5U4D6,0
A1KKF3,A5WP83,0
A1KKF3,D5XUM4,0
A1KKF3,D5YRR7,0
A1KKF3,D5Z4X8,0
A1KKF3,D6FCP8,0
A1KKF3,E2TAM5,0
A1KML1,O33348,0
A1VXZ7,A3ZJL2,0
A1Y291,O75475,0
A1Z6E0,P62869,0
A1Z6E0,P62869,0
A2AT02,O35987,0
A2AT02,Q01853,0
A2NTY6,A8CDU0,0
A2NTY6,A9JJF6,0
A2NTY6,P01903,0
A2NUT2,A6N6W4,0
A2NUT2,A6N6W6,0
A2NUT2,Q1PHM6,0
A2NUT2,Q6DQ33,0
A2NV54,Q9WFX3,0
A2NVF0,P04234,0
A2S9Z8,A8KVB0,0
A2VG40,A5WKA4,0
A2VGP3,A5U4K5,0
A2VGP3,P64767,0
A2VJK8,A5U4D5,0
A2VJK8,A5U4D6,0
A2VJK8,C1AQ26,0
A2VJK8,D5YRR7,0
A2VJK8,D5Z4X9,0
A2VJK8,D6FCP8,0
A2VJK8,D7ESJ2,0
A2VJK8,E2TAM5,0
A2VKP7,C1AF05,0
A2VKP7,D5YI18,0
A2VKP7,D5YUF7,0
A2VKP7,P0A4Z6,0
A3DDN1,P71143,0
A3MM39,Q3JQ80,0
A3MN95,A8KWB0,0
A3MN95,B7CL66,0
A3MN95,C0XZF8,0
A3MN95,Q63R49,0
A3QNQ0,P37173,0
A3ZJL2,D3FLM4,0
A4KIP1,A5U4D5,0
A4KIP1,A5WP83,0
A4KIP1,C1AQ26,0
A4KIP1,D5Z4X9,0
A4KIP1,D6FCP8,0
A4KIP1,D7ESJ2,0
A4KIP1,E2TAM5,0
A4KR29,B4AQU0,0
A4KR29,D2AMC8,0
A4KR29,Q5NH47,0
A4L8F7,P01887,0
A5A6J1,D0VWZ0,0
A5F0W4,A6A028,0
A5GZW8,Q0QF01,0
A5U0C2,Q7D9D3,0
A5U2B8,P66034,0
A5U4D5,A5U4D6,0
A5U4D5,C1AQ26,0
A5U4D5,D5YRR7,0
A5U4D5,D6FCP8,0
A5U4D5,D7ESJ2,0
A5U4D5,E2TAM5,0
A5U4D5,O33245,0
A5U4D6,C1AQ26,0
A5U4D6,D5XUM4,0
A5U4D6,D5Z4X9,0
A5U4D6,D6FCP8,0
A5U4D6,D7ESJ2,0
A5U4D6,E2TAM5,0
A5U5N6,D5YI18,0
A5U5N6,D5YUF7,0
A5U5N6,D6FJA3,0
A5U5N6,P0A4Z6,0
A5U832,E2TRM7,0
A5WKA4,O53799,0
A5WKA4,Q7D9D4,0
A5WP83,D5Z4X8,0
A5WP84,D5Z4X8,0
A5WQE5,C1AF05,0
A5WQE5,D5YI18,0
A5WQE5,D6FJA3,0
A5WQE5,P0A4Z6,0
A5YI31,B5LP24,0
A5YI31,B9V3Y5,0
A6AC58,Q9KTK0,0
A6BP30,Q8ZCP4,0
A6ZKK5,C8Z3U3,0
A6ZKK5,E7NEK9,0
A6ZKK5,E7QB62,0
A6ZKK5,P07251,0
A6ZKK5,P21306,0
